"2438730,Secrets and Lies: A History of CIA Mind Control and Germ Warfare,Gordon Thomas,""Thomas, Gordon"",,""=""""1568526849"""""",""=""""9781568526843"""""",0,3.68,""Konecky, William S. Associates, Inc."",Hardcover,417,2007,2006,,2017/10/14,to-read,to-read (#265),to-read,,,,0,,,0,,,,,";
"18458315,Szeptem temidzie,Andrzej Błachowski,""Błachowski, Andrzej"",,""="""""""""",""="""""""""",4,4.00,Krajowa Agencja Wydawnicza,Paperback,128,1980,1980,2013/09/05,2013/09/05,,,read,Ciekawy wgląd w sprawy sądowe z lat 70. Nieznana mi wizja tamtejszych lat i układów jakie istniały na wsiach i w małych miejscowościach. Ciekawe przybliżenie historii w formie krótkich reportaży.,,,1,,,0,,,,,";
"32734769,Morze po kolana,Marcin Kołodziejczyk,""Kołodziejczyk, Marcin"",Marcin Podolec,""=""""838032126X"""""",""=""""9788380321267"""""",4,3.97,Wielka Litera,Paperback,160,2016,,2017/10/14,2017/10/04,,,read,,,,1,,,0,,,,,";
"25570534,Dysforia. Przypadki mieszczan polskich,Marcin Kołodziejczyk,""Kołodziejczyk, Marcin"",,""=""""8380320336"""""",""=""""9788380320338"""""",0,3.47,Wielka Litera,Hardcover,292,2015,2015,,2017/10/14,to-read,to-read (#264),to-read,,,,0,,,0,,,,,";
"17900757,B. Opowieści z planety prowincja,Marcin Kołodziejczyk,""Kołodziejczyk, Marcin"",,""="""""""""",""=""""9788363387792"""""",0,3.27,Wielka Litera,ebook,,2013,2013,,2017/10/14,to-read,to-read (#263),to-read,,,,0,,,0,,,,,";
"7712799,20 lat nowej Polski w reportażach według Mariusza Szczygła,Mariusz Szczygieł,""Szczygieł, Mariusz"",""Irena Morawska, Joanna Sokolińska, Joanna Wojciechowska, Karol Podgórski, Włodzimierz Nowak, Marcin Kołodziejczyk, Wojciech Staszewski, Edyta Gietka, Ewa Winnicka, Witold Szabłowski, Anna Fostakowska, Wojciech Bojanowski, Paweł Piotr Reszka, Jacek Antczak, Artur Pałysa, Lidia Ostałowska, Tomasz Kwaśniewski, Katarzyna Surmiak-Domańska, Paweł Smoleński, Jacek Hugo-Bader, Grzegorz Sroczyński, Wojciech Tochman"",""="""""""""",""=""""9788375361438"""""",0,4.35,Wydawnictwo Czarne,Hardcover,472,2009,2009,,2017/10/14,to-read,to-read (#262),to-read,,,,0,,,0,,,,,";
"71149,Journey into the Whirlwind,Evgenia Ginzburg,""Ginzburg, Evgenia"",""Paul Stevenson, Max Hayward"",""="""""""""",""=""""9780156027519"""""",0,4.33,""Harvest Books (Harcourt, Inc.)"",Paperback,418,2002,1967,,2017/10/09,to-read,to-read (#261),to-read,,,,0,,,0,,,,,";
"13607304,Try the Morgue,Eva Maria Staal,""Staal, Eva Maria"",,""=""""087140334X"""""",""=""""9780871403346"""""",2,3.32,Liveright,Hardcover,224,2012,2007,2017/10/09,2017/09/30,,,read,,,,1,,,0,,,,,";
"4507,Sickened: The Memoir of a Munchausen by Proxy Childhood,Julie Gregory,""Gregory, Julie"",,""=""""0553803077"""""",""=""""9780553803075"""""",0,3.72,Bantam,Hardcover,244,2003,2003,,2017/10/08,to-read,to-read (#260),to-read,,,,0,,,0,,,,,";
"64218,""Eric (Discworld, #9";" Rincewind #4)"",Terry Pratchett,""Pratchett, Terry"",,""=""""0380821214"""""",""=""""9780380821211"""""",3,3.72,Harper,Mass Market Paperback,217,2008,1990,2017/09/30,2017/09/24,,,read,,,,1,,,0,,,,,"
"7799004,Merchants of Doubt: How a Handful of Scientists Obscured the Truth on Issues from Tobacco Smoke to Global Warming,Naomi Oreskes,""Oreskes, Naomi"",Erik M. Conway,""=""""1596916109"""""",""=""""9781596916104"""""",0,4.15,Bloomsbury Press,Hardcover,357,2010,2010,,2017/09/29,to-read,to-read (#259),to-read,,,,0,,,0,,,,,";
"16690,The Moon is a Harsh Mistress,Robert A. Heinlein,""Heinlein, Robert A."",,""=""""0340837942"""""",""=""""9780340837948"""""",0,4.17,Hodder & Stoughton,Paperback,288,2005,1966,,2017/09/29,to-read,to-read (#258),to-read,,,,0,,,0,,,,,";
"1122054,My Life And Work (The Autobiography Of Henry Ford),Henry Ford,""Ford, Henry"",,""=""""1420928198"""""",""=""""9781420928198"""""",0,4.18,Digireads.com,Paperback,140,2007,1922,,2017/09/29,to-read,to-read (#257),to-read,,,,0,,,0,,,,,";
"746673,""The Last Lion 3: Winston Spencer Churchill: Defender of the Realm, 1940-1965 (The Last Lion, #3)"",William Manchester,""Manchester, William"",Paul   Reid,""=""""0316547700"""""",""=""""9780316547703"""""",0,4.39,""Little, Brown and Company"",Hardcover,1232,2012,2011,,2017/09/29,to-read,to-read (#256),to-read,,,,0,,,0,,,,,";
"52309,The Autobiography of Benjamin Franklin,Benjamin Franklin,""Franklin, Benjamin"",Lewis Leary,""=""""0743255062"""""",""=""""9780743255066"""""",0,3.82,Touchstone,Paperback,160,2004,1791,,2017/09/29,to-read,to-read (#255),to-read,,,,0,,,0,,,,,";
"20527133,""Superintelligence: Paths, Dangers, Strategies"",Nick Bostrom,""Bostrom, Nick"",,""=""""0199678111"""""",""=""""9780199678112"""""",0,3.85,""Oxford University Press, USA"",Hardcover,328,2014,2014,,2017/09/29,to-read,to-read (#254),to-read,,,,0,,,0,,,,,";
"13,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,""Adams, Douglas"",,""=""""0345453743"""""",""=""""9780345453747"""""",0,4.38,Del Rey Books,Paperback,815,2002,1996,,2017/09/29,to-read,to-read (#253),to-read,,,,0,,,0,,,,,";
"5486,Andrew Carnegie,David Nasaw,""Nasaw, David"",,""=""""1594201048"""""",""=""""9781594201042"""""",0,3.93,""Penguin Press HC, The"",Hardcover,896,2006,2006,,2017/09/29,to-read,to-read (#252),to-read,,,,0,,,0,,,,,";
"46414,Modernity and Self-Identity: Self and Society in the Late Modern Age,Anthony Giddens,""Giddens, Anthony"",,""=""""0804719446"""""",""=""""9780804719445"""""",0,3.79,Stanford University Press,Paperback,264,1991,1991,,2017/09/28,to-read,to-read (#251),to-read,,,,0,,,0,,,,,";
"26720949,The Death of Expertise: The Campaign Against Established Knowledge and Why It Matters,Tom Nichols,""Nichols, Tom"",,""=""""0190469412"""""",""=""""9780190469412"""""",0,3.92,""Oxford University Press, USA"",Hardcover,240,2017,2016,,2017/09/28,to-read,to-read (#250),to-read,,,,0,,,0,,,,,";
"36109154,To nie jest kraj dla pracowników,Rafał Woś,""Woś, Rafał"",,""="""""""""",""=""""9788328036277"""""",0,4.16,W.A.B.,Paperback,400,2017,,,2017/09/26,to-read,to-read (#249),to-read,,,,0,,,0,,,,,";
"23964852,Dziecięca choroba liberalizmu,Rafał Woś,""Woś, Rafał"",,""="""""""""",""=""""9788364437243"""""",0,4.11,Studio Emka,Paperback,292,2014,2014,,2017/09/26,to-read,to-read (#248),to-read,,,,0,,,0,,,,,";
"8170474,Erynie,Marek Krajewski,""Krajewski, Marek"",,""=""""8324013601"""""",""=""""9788324013609"""""",4,3.68,Znak,Paperback,272,2010,2010,2017/09/24,2017/09/15,,,read,,,,1,,,0,,,,,";
"1000951,Darwin and the Beagle,Alan Moorehead,""Moorehead, Alan"",,""=""""0140033270"""""",""=""""9780140033274"""""",0,4.12,Penguin Books,Paperback,224,1979,1969,,2017/09/20,to-read,to-read (#247),to-read,,,,0,,,0,,,,,";
"291056,Oxygen: The Molecule That Made the World,Nick Lane,""Lane, Nick"",,""=""""0198607830"""""",""=""""9780198607830"""""",0,4.10,""Oxford University Press, USA"",Paperback,384,2004,2002,,2017/09/20,to-read,to-read (#246),to-read,,,,0,,,0,,,,,";
"19243883,Neanderthal Man: In Search of Lost Genomes,Svante Pääbo,""Pääbo, Svante"",,""=""""0465020836"""""",""=""""9780465020836"""""",0,4.02,Basic Books,Hardcover,288,2014,2014,,2017/09/20,to-read,to-read (#245),to-read,,,,0,,,0,,,,,";
"25525225,The Diet Myth: The Real Science Behind What We Eat,Tim Spector,""Spector, Tim"",,""="""""""""",""="""""""""",0,4.18,Weidenfeld & Nicolson,Kindle Edition,337,2015,2015,,2017/09/20,to-read,to-read (#243),to-read,,,,0,,,0,,,,,";
"15711829,Identically Different: Why You Can Change Your Genes,Tim Spector,""Spector, Tim"",,""=""""0297866311"""""",""=""""9780297866312"""""",0,3.64,W&N,Hardcover,338,2012,2012,,2017/09/20,to-read,to-read (#244),to-read,,,,0,,,0,,,,,";
"222637,The Seven Daughters of Eve: The Science That Reveals Our Genetic Ancestry,Bryan Sykes,""Sykes, Bryan"",,""=""""0393020185"""""",""=""""9780393020182"""""",0,3.97,W. W. Norton  Company,Hardcover,320,2001,2001,,2017/09/20,to-read,to-read (#242),to-read,,,,0,,,0,,,,,";
"6991,Adam's Curse: The Science That Reveals Our Genetic Destiny,Bryan Sykes,""Sykes, Bryan"",,""=""""0393326802"""""",""=""""9780393326802"""""",0,3.88,W. W. Norton & Company,Paperback,320,2005,2003,,2017/09/20,to-read,to-read (#241),to-read,,,,0,,,0,,,,,";
"22006446,Rozmowy ze zwierzętami,Konrad Lorenz,""Lorenz, Konrad"",Barbara Tarnas,""=""""8328008890"""""",""=""""9788328008892"""""",0,4.23,Grupa Wydawnicza Foksal,Paperback,200,2014,1949,,2017/09/20,to-read,to-read (#240),to-read,,,,0,,,0,,,,,";
"135490,Through a Window: My Thirty Years with the Chimpanzees of Gombe,Jane Goodall,""Goodall, Jane"",,""=""""0618056777"""""",""=""""9780618056774"""""",0,4.25,Mariner Books,Paperback,272,2000,1990,,2017/09/20,to-read,to-read (#239),to-read,,,,0,,,0,,,,,";
"61535,The Selfish Gene,Richard Dawkins,""Dawkins, Richard"",,""=""""0199291152"""""",""=""""9780199291151"""""",0,4.12,Oxford University Press,Paperback,360,2006,1976,,2017/09/20,to-read,to-read (#238),to-read,,,,0,,,0,,,,,";
"9717,The Unbearable Lightness of Being,Milan Kundera,""Kundera, Milan"",Michael Henry Heim,""=""""0571224385"""""",""=""""9780571224388"""""",4,4.08,Harper Perennial,Paperback,320,2009,1984,2017/09/18,2017/08/03,,,read,,,,1,,,0,,,,,";
"35603656,Kapitalizm. Historia krótkiego trwania,Kacper Pobłocki,""Pobłocki, Kacper"",,""="""""""""",""=""""9788362418787"""""",0,4.00,Fundacja Bęc Zmiana,Paperback,664,2017,,,2017/09/15,to-read,to-read (#237),to-read,,,,0,,,0,,,,,";
"5608045,Apprenticeship Patterns: Guidance for the Aspiring Software Craftsman,Dave Hoover,""Hoover, Dave"",Adewale Oshineye,""=""""0596518382"""""",""=""""9780596518387"""""",0,4.07,O'Reilly Media,Paperback,176,2009,2009,,2017/09/15,to-read,to-read (#236),to-read,,,,0,,,0,,,,,";
"32495966,Ma być czysto,Anna Cieplak,""Cieplak, Anna"",,""=""""8365369311"""""",""=""""9788365369314"""""",0,3.29,Wydawnictwo Krytyki Politycznej,Paperback,232,2016,,,2017/09/15,to-read,to-read (#235),to-read,,,,0,,,0,,,,,";
"23546676,Digital Gold: Bitcoin and the Inside Story of the Misfits and Millionaires Trying to Reinvent Money,Nathaniel Popper,""Popper, Nathaniel"",,""=""""0062362496"""""",""=""""9780062362490"""""",0,4.16,Harper,Hardcover,416,2015,2015,,2017/09/15,to-read,to-read (#234),to-read,,,,0,,,0,,,,,";
"31869077,The Internet of Money,Andreas M. Antonopoulos,""Antonopoulos, Andreas M."",,""="""""""""",""="""""""""",0,4.12,Merkle Bloom LLC,Kindle Edition,150,2016,,,2017/09/15,to-read,to-read (#233),to-read,,,,0,,,0,,,,,";
"21820378,Mastering Bitcoin,Andreas M. Antonopoulos,""Antonopoulos, Andreas M."",,""=""""1449374042"""""",""=""""9781449374044"""""",0,4.27,O′Reilly,Paperback,298,2015,2014,,2017/09/15,to-read,to-read (#232),to-read,,,,0,,,0,,,,,";
"4985,Welcome to the Monkey House,Kurt Vonnegut Jr.,""Jr., Kurt Vonnegut"",,""=""""0385333501"""""",""=""""9780385333504"""""",4,4.14,Dial Press Trade,Paperback,331,2013,1968,2017/09/15,2017/05/23,,,read,,,,1,,,0,,,,,";
"28186015,Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil,""O'Neil, Cathy"",,""=""""0553418815"""""",""=""""9780553418811"""""",0,3.87,Crown,Hardcover,272,2016,2016,,2017/09/12,to-read,to-read (#231),to-read,,,,0,,,0,,,,,";
"18007564,The Martian,Andy Weir,""Weir, Andy"",,""=""""0804139024"""""",""=""""9780804139021"""""",0,4.40,Crown,Hardcover,369,2014,2012,,2017/09/12,to-read,to-read (#230),to-read,,,,0,,,0,,,,,";
"15783514,The Ocean at the End of the Lane,Neil Gaiman,""Gaiman, Neil"",,""=""""0062255657"""""",""=""""9780062255655"""""",0,3.99,William Morrow Books,Hardcover,181,2013,2013,,2017/09/12,to-read,to-read (#229),to-read,,,,0,,,0,,,,,";
"22522808,Trigger Warning: Short Fictions and Disturbances,Neil Gaiman,""Gaiman, Neil"",,""=""""0062330268"""""",""=""""9780062330260"""""",0,3.93,William Morrow,Hardcover,310,2015,2015,,2017/09/12,to-read,to-read (#228),to-read,,,,0,,,0,,,,,";
"11732634,""Smokin' Seventeen (Stephanie Plum, #17)"",Janet Evanovich,""Evanovich, Janet"",,""=""""0345527704"""""",""=""""9780345527707"""""",0,3.94,Bantam,Mass Market Paperback,324,2011,2011,,2017/09/12,to-read,to-read (#227),to-read,,,,0,,,0,,,,,";
"5632446,Columbine,Dave Cullen,""Cullen, Dave"",,""=""""0446546933"""""",""=""""9780446546935"""""",0,4.26,Twelve,Hardcover,417,2009,2009,,2017/09/12,to-read,to-read (#226),to-read,,,,0,,,0,,,,,";
"8535464,""The Geeks Shall Inherit the Earth: Popularity, Quirk Theory and Why Outsiders Thrive After High School"",Alexandra Robbins,""Robbins, Alexandra"",,""=""""1401302025"""""",""=""""9781401302023"""""",0,3.61,Hachette Books,Hardcover,448,2009,2009,,2017/09/12,to-read,to-read (#225),to-read,,,,0,,,0,,,,,";
"8520610,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,""Cain, Susan"",,""=""""0307352145"""""",""=""""9780307352149"""""",0,4.04,""Crown Publishing Group/Random House, Inc."",Hardcover,337,2012,2012,,2017/09/12,to-read,to-read (#224),to-read,,,,0,,,0,,,,,";
"16056498,The Autistic Brain: Thinking Across the Spectrum,Temple Grandin,""Grandin, Temple"",Richard Panek,""=""""0547636458"""""",""=""""9780547636450"""""",0,4.09,Houghton Mifflin Harcourt,Hardcover,206,2013,2013,,2017/09/12,to-read,to-read (#223),to-read,,,,0,,,0,,,,,";
"4667024,The Help,Kathryn Stockett,""Stockett, Kathryn"",,""=""""0399155341"""""",""=""""9780399155345"""""",0,4.45,Amy Einhorn Books,Hardcover,444,2009,2009,,2017/09/12,to-read,to-read (#222),to-read,,,,0,,,0,,,,,";
"7937843,Room,Emma Donoghue,""Donoghue, Emma"",,""=""""0316098337"""""",""=""""9780316098335"""""",0,4.03,""Little, Brown"",Hardcover,321,2010,2010,,2017/09/12,to-read,to-read (#220),to-read,,,,0,,,0,,,,,";
"10357575,1Q84,Haruki Murakami,""Murakami, Haruki"",""Jay Rubin, Philip Gabriel"",""=""""0307593312"""""",""=""""9780307593313"""""",0,3.89,Knopf,Hardcover,925,2011,2009,,2017/09/12,to-read,to-read (#221),to-read,,,,0,,,0,,,,,";
"16115612,And the Mountains Echoed,Khaled Hosseini,""Hosseini, Khaled"",,""=""""159463176X"""""",""=""""9781594631764"""""",0,4.03,Riverhead Books,Hardcover,404,2013,2012,,2017/09/12,to-read,to-read (#219),to-read,,,,0,,,0,,,,,";
"18081809,Landline,Rainbow Rowell,""Rowell, Rainbow"",,""=""""1250049377"""""",""=""""9781250049377"""""",0,3.55,St. Martin's Press,Hardcover,310,2014,2014,,2017/09/12,to-read,to-read (#218),to-read,,,,0,,,0,,,,,";
"24817626,Go Set a Watchman,Harper Lee,""Lee, Harper"",,""=""""0062409859"""""",""=""""9780062409850"""""",0,3.31,HarperCollins,Hardcover,278,2015,2015,,2017/09/12,to-read,to-read (#217),to-read,,,,0,,,0,,,,,";
"26247008,Truly Madly Guilty,Liane Moriarty,""Moriarty, Liane"",,""=""""1250069793"""""",""=""""9781250069795"""""",0,3.55,Flatiron Books,Hardcover,415,2016,2016,,2017/09/12,to-read,to-read (#216),to-read,,,,0,,,0,,,,,";
"19485243,Business Execution for RESULTS: A Practical Guide for Leaders of Small to Mid-Sized Firms,Stephen Lynch,""Lynch, Stephen"",,""="""""""""",""="""""""""",0,4.07,STEBIAN.com,Kindle Edition,238,2013,2013,,2017/09/12,to-read,to-read (#215),to-read,,,,0,,,0,,,,,";
"7445,The Glass Castle,Jeannette Walls,""Walls, Jeannette"",,""=""""074324754X"""""",""=""""9780743247542"""""",0,4.24,Scribner,Paperback,288,2006,2005,,2017/09/06,to-read,to-read (#214),to-read,,,,0,,,0,,,,,";
"39916,Epileptic,David B.,""B., David"",,""=""""0375714685"""""",""=""""9780375714689"""""",0,3.89,Pantheon,Paperback,368,2005,2002,,2017/09/06,to-read,to-read (#213),to-read,,,,0,,,0,,,,,";
"18444221,Megahex,Simon Hanselmann,""Hanselmann, Simon"",,""=""""1606997432"""""",""=""""9781606997437"""""",0,4.01,Fantagraphics,Hardcover,207,2014,2014,,2017/09/06,to-read,to-read (#212),to-read,,,,0,,,0,,,,,";
"34813866,One More Year (Megahex),Simon Hanselmann,""Hanselmann, Simon"",,""="""""""""",""="""""""""",0,4.27,Fantagraphics,Kindle Edition,200,2017,2017,,2017/09/06,to-read,to-read (#211),to-read,,,,0,,,0,,,,,";
"31625636,We Have No Idea: A Guide to the Unknown Universe,Jorge Cham,""Cham, Jorge"",Daniel Whiteson,""=""""0735211515"""""",""=""""9780735211513"""""",0,4.31,Riverhead Books,Hardcover,336,2017,2017,,2017/09/06,to-read,to-read (#210),to-read,,,,0,,,0,,,,,";
"156534,""Y: The Last Man, Vol. 1: Unmanned"",Brian K. Vaughan,""Vaughan, Brian K."",""Pia Guerra, José Marzán Jr."",""=""""1563899809"""""",""=""""9781563899805"""""",3,4.11,Vertigo,Paperback,130,2003,2003,2017/08/26,2017/04/26,,,read,,,,1,,,0,,,,,";
"22701879,Not If I See You First,Eric Lindstrom,""Lindstrom, Eric"",,""=""""0316259853"""""",""=""""9780316259859"""""",0,3.94,Poppy,Hardcover,310,2015,2015,,2017/08/24,to-read,to-read (#209),to-read,,,,0,,,0,,,,,";
"5544,""Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character"",Richard Feynman,""Feynman, Richard"",,""=""""0393316041"""""",""=""""9780393316049"""""",0,4.29,W. W. Norton & Company,Paperback,391,1997,1984,,2017/08/24,to-read,to-read (#208),to-read,,,,0,,,0,,,,,";
"160869,The Originals,Dave Gibbons,""Gibbons, Dave"",,""=""""1840236965"""""",""=""""9781840236965"""""",2,3.11,,,,,2004,2017/08/24,2017/08/23,,,read,,,,1,,,0,,,,,";
"1747896,The Suspicions of Mr. Whicher: A Shocking Murder and the Undoing of a Great Victorian Detective,Kate Summerscale,""Summerscale, Kate"",,""=""""0802715354"""""",""=""""9780802715357"""""",4,3.43,Walker Books,Hardcover,360,2008,2008,2017/08/24,2017/08/17,,,read,,,,1,,,0,,,,,";
"52036,Siddhartha,Hermann Hesse,""Hesse, Hermann"",Hilda Rosner,""=""""0553208845"""""",""=""""9780553208849"""""",0,3.99,Bantam Books,Mass Market Paperback,152,1981,1922,,2017/08/18,to-read,to-read (#207),to-read,,,,0,,,0,,,,,";
"2956,The Adventures of Huckleberry Finn,Mark Twain,""Twain, Mark"",""John Seelye, Guy Cardwell"",""=""""0142437174"""""",""=""""9780142437179"""""",0,3.80,Penguin Classics,Paperback,327,2002,1884,,2017/08/18,to-read,to-read (#206),to-read,,,,0,,,0,,,,,";
"7604,Lolita,Vladimir Nabokov,""Nabokov, Vladimir"",Craig Raine,""="""""""""",""="""""""""",0,3.88,Penguin,Paperback,331,1995,1955,,2017/08/18,to-read,to-read (#205),to-read,,,,0,,,0,,,,,";
"890,Of Mice and Men,John Steinbeck,""Steinbeck, John"",,""=""""0142000671"""""",""=""""9780142000670"""""",0,3.84,Penguin,Paperback,112,2002,1937,,2017/08/18,to-read,to-read (#204),to-read,,,,0,,,0,,,,,";
"7745,Fear and Loathing in Las Vegas,Hunter S. Thompson,""Thompson, Hunter S."",Ralph Steadman,""=""""0679785892"""""",""=""""9780679785897"""""",0,4.08,Vintage Books,Paperback,204,1998,1971,,2017/08/18,to-read,to-read (#203),to-read,,,,0,,,0,,,,,";
"28676,American Psycho,Bret Easton Ellis,""Ellis, Bret Easton"",,""=""""0679735771"""""",""=""""9780679735779"""""",0,3.81,Vintage Contemporaries / Random House,Paperback,399,1991,1991,,2017/08/18,to-read,to-read (#202),to-read,,,,0,,,0,,,,,";
"16981,Invisible Man,Ralph Ellison,""Ellison, Ralph"",,""=""""0679732764"""""",""=""""9780679732761"""""",0,3.84,Vintage,Paperback,581,1995,1952,,2017/08/18,to-read,to-read (#201),to-read,,,,0,,,0,,,,,";
"168668,""Catch-22 (Catch-22, #1)"",Joseph Heller,""Heller, Joseph"",,""=""""0684833395"""""",""=""""9780684833392"""""",0,3.98,Simon & Schuster ,Paperback,453,2004,1961,,2017/08/18,to-read,to-read (#200),to-read,,,,0,,,0,,,,,";
"2657,To Kill a Mockingbird,Harper Lee,""Lee, Harper"",,""=""""0061120081"""""",""=""""9780061120084"""""",0,4.26,Harper Perennial Modern Classics,Paperback,324,2006,1960,,2017/08/18,to-read,to-read (#199),to-read,,,,0,,,0,,,,,";
"18693884,How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,""Ellenberg, Jordan"",,""=""""1594205221"""""",""=""""9781594205224"""""",0,3.93,Penguin Press,Hardcover,480,2014,2014,,2017/08/18,to-read,to-read (#198),to-read,,,,0,,,0,,,,,";
"34855267,Całe życie,Robert Seethaler,""Seethaler, Robert"",Ewa Kochanowska,""="""""""""",""=""""9788375154412"""""",4,3.96,Otwarte,Hardcover,184,2017,2014,2017/08/17,2017/08/05,,,read,,,,1,,,0,,,,,";
"991197,The Complete Persepolis,Marjane Satrapi,""Satrapi, Marjane"",""Mattias Ripa, Blake Ferris, Anjali Singh"",""=""""0375714839"""""",""=""""9780375714832"""""",4,4.36,Pantheon Books,Paperback,341,2007,2003,2017/08/13,2017/08/04,ulubione,ulubione (#2),read,,,,1,,,0,,,,,";
"899146,Manalive,G.K. Chesterton,""Chesterton, G.K."",,""=""""0486414051"""""",""=""""9780486414058"""""",4,4.21,Dover Publications,Paperback,160,2000,1912,2017/08/12,2017/07/20,,,read,,,,1,,,0,,,,,";
"22847284,Grokking Algorithms An Illustrated Guide For Programmers and Other Curious People,Aditya Y. Bhargava,""Bhargava, Aditya Y."",,""=""""1617292230"""""",""=""""9781617292231"""""",0,4.40,Manning Publications Co,Paperback,256,2015,2015,,2017/08/09,to-read,to-read (#197),to-read,,,,0,,,0,,,,,";
"20609220,Hitman/Lobo: Ten głupi wał!,Garth Ennis,""Ennis, Garth"",Dough Mahnke,""=""""8389698439"""""",""="""""""""",2,3.50,Mandragora,,48,2005,2005,,2017/08/06,,,read,,,,1,,,0,,,,,";
"231262,Head First Java,Kathy Sierra,""Sierra, Kathy"",Bert Bates,""=""""0596009208"""""",""=""""9780596009205"""""",0,4.20,O'Reilly Media,Paperback,688,2005,2003,,2017/08/04,currently-reading,currently-reading (#2),currently-reading,,,,1,,,0,,,,,";
"25664449,""Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness"",Nathanael Johnson,""Johnson, Nathanael"",,""=""""1623363853"""""",""=""""9781623363857"""""",3,4.07,Rodale Books,Hardcover,224,2016,2016,2017/08/04,2017/08/01,,,read,,,,1,,,0,,,,,";
"15704307,""Saga, Vol. 1 (Saga, #1)"",Brian K. Vaughan,""Vaughan, Brian K."",Fiona Staples,""=""""1607066017"""""",""=""""9781607066019"""""",4,4.24,Image Comics,Paperback,160,2012,2012,2017/08/02,2017/08/01,,,read,,,,1,,,0,,,,,";
"29151508,Finansowy Ninja,Michał Szafrański,""Szafrański, Michał"",,""="""""""""",""=""""9788365308009"""""",0,4.52,Kaveo Publishing,Hardcover,534,2016,,,2017/08/01,to-read,to-read (#196),to-read,,,,0,,,0,,,,,";
"41804,""I, Robot (Robot #0.1)"",Isaac Asimov,""Asimov, Isaac"",,""=""""0553803700"""""",""=""""9780553803709"""""",0,4.17,Spectra,Hardcover,224,2004,1950,,2017/08/01,to-read,to-read (#195),to-read,,,,0,,,0,,,,,";
"11324612,Bellevue,Ivana Dobrakovová,""Dobrakovová, Ivana"",,""="""""""""",""=""""9788081140303"""""",5,3.52,Marenčin PT,Hardcover,242,2010,2010,2017/08/01,2017/07/31,ulubione,ulubione (#1),read,,,,1,,,0,,,,,";
"332613,One Flew Over the Cuckoo's Nest,Ken Kesey,""Kesey, Ken"",,""=""""0451163966"""""",""=""""9780451163967"""""",0,4.19,Signet,Mass Market Paperback,325,1963,1962,,2017/08/01,to-read,to-read (#194),to-read,,,,0,,,0,,,,,";
"6514,The Bell Jar,Sylvia Plath,""Plath, Sylvia"",,""=""""0061148512"""""",""=""""9780061148514"""""",0,3.98,Harper Perennial,Paperback,244,2006,1963,,2017/08/01,to-read,to-read (#193),to-read,,,,0,,,0,,,,,";
"29938092,Cisza w Pradze,Jaroslav Rudiš,""Rudiš, Jaroslav"",Katarzyna Dudzic,""="""""""""",""=""""9788364887284"""""",4,3.81,Książkowe Klimaty,Paperback,300,2014,2007,2017/07/31,2017/07/27,,,read,,,,1,,,0,,,,,";
"29430012,A Gentleman in Moscow,Amor Towles,""Towles, Amor"",,""=""""0670026190"""""",""=""""9780670026197"""""",0,4.37,Viking,Hardcover,462,2016,2016,,2017/07/29,to-read,to-read (#192),to-read,,,,0,,,0,,,,,";
"31125554,""The Fourth Monkey (A 4MK Thriller, #1)"",J.D. Barker,""Barker, J.D."",,""=""""0544968840"""""",""=""""9780544968844"""""",0,4.21,Houghton Mifflin Harcourt,Hardcover,404,2017,2017,,2017/07/29,to-read,to-read (#191),to-read,,,,0,,,0,,,,,";
"25368638,Bliskość,Marin Mălaicu-Hondrari,""Mălaicu-Hondrari, Marin"",,""="""""""""",""=""""9788364887123"""""",3,4.15,Książkowe Klimaty,Paperback,295,2015,2010,2017/07/27,2017/07/24,,,read,,,,1,,,0,,,,,";
"4099,The Pragmatic Programmer: From Journeyman to Master,Andy Hunt,""Hunt, Andy"",Dave Thomas,""=""""020161622X"""""",""=""""9780201616224"""""",0,4.31,Addison-Wesley Professional,Paperback,321,1999,1999,,2017/07/24,to-read,to-read (#190),to-read,,,,0,,,0,,,,,";
"25761329,""Lumberjanes, Vol. 3: A Terrible Plan"",Noelle Stevenson,""Stevenson, Noelle"",""Shannon Watters, Carolyn Nowak, Maarta Laiho, Aubrey Aiese, Brittney Williams, Aimee Fleck, Faith Erin Hicks, Rebecca Tobin, Felicia Choo, T. Zysk"",""=""""1608868036"""""",""=""""9781608868032"""""",0,4.09,BOOM! Box,Paperback,112,2016,2016,,2017/07/24,to-read,to-read (#189),to-read,,,,0,,,0,,,,,";
"25853351,""The Wicked + The Divine, Vol. 3: Commercial Suicide"",Kieron Gillen,""Gillen, Kieron"",Jamie McKelvie,""=""""1632156318"""""",""=""""9781632156310"""""",0,3.70,Image Comics,Paperback,200,2016,2016,,2017/07/24,to-read,to-read (#188),to-read,,,,0,,,0,,,,,";
"25652706,Patience,Daniel Clowes,""Clowes, Daniel"",,""=""""1606999052"""""",""=""""9781606999059"""""",0,3.86,Fantagraphics,Hardcover,180,2016,2016,,2017/07/24,to-read,to-read (#187),to-read,,,,0,,,0,,,,,";
